Activity Period,Activity Period Start Date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,Landing Count,Total Landed Weight,data_as_of,data_loaded_at
201501,2015/01/01,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,-,39,10619000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,300,3,966000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,"Aer Lingus, Ltd.",EI,"Aer Lingus, Ltd.",EI,International,Europe,Passenger,Wide Body,Airbus,A330,200,15,5959616,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,"Aer Lingus, Ltd.",EI,"Aer Lingus, Ltd.",EI,International,Europe,Passenger,Wide Body,Airbus,A330,300,3,1236792,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,700,95,12160000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,300,24,7677600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,95,12777500,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,63,8958600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,214,15,2133000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,2,343000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,30,22,572000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,777,300ER,28,15512000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,200,28,12882800,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,200,18,8460000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,300,26,14352000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,247,29887000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,9,1089000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,121,15633200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,700,2,258400,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
